Regulator	Target	Weight
Arid3a	C130046k22rik	0.5
Arid3a	C920009b18rik	0.5
Arid3a	Cadm1	-0.5
Arid3a	Cald1	-0.5
Arid3a	Camk1d	-0.5
Arid3a	Camk2d	-0.5
Arid3a	Camkmt	0.5
Arid3a	Capn3	-0.5
Arid3a	Capsl	0.5
Arid3a	Casp6	-0.5
Arid3a	Casr	0.5
Arid3a	Cbfa2t3	0.5
Arid3a	Cblc	-0.5
Arid3a	Ccdc138	0.5
Arid3a	Ccdc149	0.5
Arid3a	Ccdc181	0.5
Arid3a	Ccdc64b	0.5
Arid3a	Ccp110	0.5
Arid3a	Ccr1l1	0.5
Arid3a	Ccr7	0.5
Arid3a	Ccser2	0.5
Arid3a	Cd200r3	0.5
Arid3a	Cd274	0.5
Arid3a	Cd300c	0.5
Arid3a	Cd74	0.5
Arid3a	Cd79a	-0.5
Arid3a	Cd9	0.5
Arid3a	Cd99l2	-0.5
Arid3a	Cdh17	-0.5
Arid3a	Cdh3	0.5
Arid3a	Celsr1	0.5
Arid3a	Cenpw	0.5
Arid3a	Cers6	-0.5
Arid3a	Cflar	0.5
Arid3a	Chrm3	-0.5
Arid3a	Chst15	0.5
Arid3a	Chsy3	-0.5
Arid3a	Clec10a	0.5
Arid3a	Clec1a	-0.5
Arid3a	Cmss1	0.5
Arid3a	Cobll1	-0.5
Arid3a	Col8a1	-0.5
Arid3a	Cpeb3	-0.5
Arid3a	Cpq	-0.5
Arid3a	Ctla2b	-0.5
Arid3a	Ctso	-0.5
Arid3a	Cubn	-0.5
Arid3a	Cxcl10	-0.5
Arid3a	Cxcl9	-0.5
Arid3a	Cyfip1	0.5
Arid3a	Cysltr1	0.5
Arid3a	D330050g23rik	0.5
Arid3a	Dapk1	0.5
Arid3a	Dennd4a	0.5
Arid3a	Denr	0.5
Arid3a	Dgkh	-0.5
Arid3a	Dnah6	-0.5
Arid3a	Dnajc3	-0.5
Arid3a	Dnase1l3	-0.5
Arid3a	Dnm3	-0.5
Arid3a	Dnmt3a	0.5
